title,year,genre,director,writer,actors,wiki_url
Fiza,2000,"Action, Crime, Drama",Khalid Mohamed,"Khalid Mohamed, Javed Siddiqui","Jaya Bachchan, Karisma Kapoor, Hrithik Roshan, Neha, Asha Sachdev, Bikram Saluja, Isha Koppikar, Dinesh Thakur, Sanjay Narvekar, Ravi Jhankal, Anup Soni, Shivaaji Satam, Sabir Masani, Johnny Lever, Manoj Bajpayee","Fiza, "
Honolulu,2001,"Comedy, Drama, Romance","Uschi Ferstl, Florian Gallenberger","Uschi Ferstl, Florian Gallenberger","Peter Bechtel, Daniel Brühl, Husam Chadat, Shira Fleisher, Eva Haßmann, Julia Hummer, Aleksandar Jovanovic, Markus Knüfken, Philip Köstring, Alexandra Maria Lara, Stefan Maaß, Mehdi Moinzadeh, Jochen Nickel, Isabella Parkinson, Chiara Schoras","Honolulu_(film), "
The Invitation,2003,"Drama, Thriller, Horror",Pat Bermel,"Pat Bermel, Neil Bermel","Lance Henriksen, Christopher Shyer, Stellina Rusich, Stefanie von Pfetten, David Livingstone, Douglas O'Keeffe, Sarah-Jane Redmond, Lideo Baldeon, Michael Leisen, Fred Henderson, Bob Dawson, Wanda Wilkinson, Fulvio Cecere, William M. Gregory, Mikka Dargel","The_Invitation_(2015_film), "
Kabhi Khushi Kabhie Gham...,2001,"Drama, Musical, Romance",Karan Johar,"Karan Johar, Sheena Parikh","Amitabh Bachchan, Jaya Bachchan, Shah Rukh Khan, Kajol, Hrithik Roshan, Kareena Kapoor, Farida Jalal, Jibraan Khan, Rani Mukerji, Alok Nath, Johnny Lever, Achala Sachdev, Himani Shivpuri, Aryan Khan, Sushma Seth","Kabhi_Khushi_Kabhie_Gham..., "
Khudgarz,1987,Drama,Rakesh Roshan,,"Jeetendra, Shatrughan Sinha, Bhanupriya, Amrita Singh, Govinda, Neelam Kothari, Kader Khan, Kiran Kumar, Saeed Jaffrey, Sudhir Dalvi, Sangeeta Naik, Vikas Anand, Abhi Bhattacharya, Farita Boyce, Jayant Dave","Khudgarz, "
Mission Kashmir,2000,"Action, Drama, Thriller",Vidhu Vinod Chopra,"Vikram Chandra, Vidhu Vinod Chopra","Sanjay Dutt, Hrithik Roshan, Preity Zinta, Sonali Kulkarni, Jackie Shroff, Puru Rajkumar, Abhay Chopra, Vineet Sharma, Rajendra Gupta, Memon Mohsin, Master Yogin Soni, Heenaa Biswas, Sanjeev Rattan, Manoj Mishra, Chandan Bisht","Mission_Kashmir, "
Na Tum Jaano Na Hum,2002,"Comedy, Drama, Musical",Arjun Sablok,"Pratibha Acharya, Arjun Sablok","Saif Ali Khan, Hrithik Roshan, Esha Deol, Alok Nath, Smita Jaykar, Anang Desai, Achla Sachdev, Shilarna Vaze, Rajshree Solanki, Sonali Kapadia, Bhavna Ruparel, Umesh Karia, Amir Zadey, Rakhi Sawant, Azaan Cooper","Na_Tum_Jaano_Na_Hum, "
Party,1984,Drama,Govind Nihalani,"Vasant Dev, Satyadev Dubey","Deepa Sahi, Ila Arun, Raju Barot, Mohan Bhandari, Benjamin Gilani, Rashmi Ginde, Rohini Hattangadi, Shafi Inamdar, Darius Irani, Madan Jain, Ravi Jhankal, Nikhil Kapoor, Vijay Kashyap, Deven Khote, Akash Khurana","Party_(1994_film), "
Ponthan Mada,1994,Drama,T.V. Chandran,"T.V. Chandran, C.V. Sriraman","Mammootty, Laboni Sarkar, Naseeruddin Shah","Ponthan_Mada, Ponthan_Mada, "
Shiva,1989,"Action, Crime, Drama","Amirjan, Ram Gopal Varma","Azam, Tanikella Bharani","Nagarjuna Akkineni, Amala Akkineni, Raghuvaran, J.D. Chakravarthi, Murali Mohan, Subhalekha Sudhakar, Chinna, Tanikella Bharani, Jagan, Nirmalamma, Uttej, Ram Jagan, Raj Zutshi, Paresh Rawal, Brij Gopal","Shiva_(1990_film), Shiva_(2006_film), "
Swarnakamalam,1988,"Drama, Musical, Romance",K. Viswanath,"Sainath, K. Viswanath","Bhanupriya, Venkatesh Daggubati, Devilalita, Sharon Loven, Brahmanandam, Dubbing Janaki, Sri Lakshmi, Aruna Mucherla, Sakshi Ranga Rao, Pavala Shyamala, Shanmukha Srinivas","Swarnakamalam, "
Njan Gandharvan,1991,"Drama, Fantasy, Romance",P. Padmarajan,P. Padmarajan,"Nitish Bharadwaj, Suparna Anand, M.G. Soman, Ganesh Kumar, Philomina, Vinduja Menon, Thezni Khan, Sulakshana","Njan_Gandharvan, "
Aha Naa Pellanta,1987,Comedy,Jandhyala,"Adivishnu, Jandhyala","Rajendra Prasad, Rajani, Nutan Prasad, Srinivasa Rao Kota, Brahmanandam, Rallapalli, Suthi Veerabhadra Rao, Ashok Rao, Subhalekha Sudhakar, Vidyasagar","Aha_Naa_Pellanta_(1987_film), Aha_Naa_Pellanta_(2011_film), "
Annamayya,1997,"Biography, History, Musical",K. Raghavendra Rao,J.K. Bharavi,"Nagarjuna Akkineni, Suman, Bhanupriya, Mohan Babu, Srikanya, Kasturi, Ramya Krishnan, Roja, Ananth, Babu Mohan, Tanikella Bharani, Brahmanandam, Gundu Hanumantha Rao, Jenny, Srinivasa Rao Kota","Annamayya_(film), "
Asoka,2001,"Action, Biography, Drama",Santosh Sivan,"Saket Chaudhary, Santosh Sivan","Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Hrishitaa Bhatt, Rahul Dev, Ajith Kumar, Gerson Da Cunha, Subhashini Ali, Umesh Mehra, Sooraj Balaji, Johnny Lever, Raghuvir Yadav, Suresh Menon, Shilpa Mehta, Rajlaxmi R. Roy","Asoka_(2001_film), "
Billy Elliot,2000,"Drama, Music",Stephen Daldry,Lee Hall,"Jamie Bell, Jean Heywood, Jamie Draven, Gary Lewis, Stuart Wells, Mike Elliot, Billy Fane, Nicola Blackwell, Julie Walters, Carol McGuigan, Joe Renton, Colin MacLachlan, Janine Birkett, Trevor Fox, Charlie Hardwick","Billy_Elliot, "
The Girl,2000,"Drama, Mystery, Romance",Sande Zeig,"Monique Wittig, Monique Wittig","Claire Keim, Agathe de La Boulaye, Cyril Lecomte, Sandra Nkake, Ronald Guttman, Cyrille Hertel, Pascal Cervo, Franck Prévost, Fadila Belkebla, Sylvie Bataillard, Hélène Juren, Zizek Belkebla, Raphaël Beauville, Stéphane Germain","The_Girl_(2000_film), "
Hum To Mohabbat Karega,2000,"Action, Comedy, Romance",Kundan Shah,"Kundan Shah, Ranjit Kapoor","Karisma Kapoor, Bobby Deol, Rohit Roy, Sadashiv Amrapurkar, Maleeka Ghai, Rajendra Gupta, Ravi Jhankal, Shakti Kapoor, Vijay Kashyap, Jaswir Kaur, Johnny Lever, Pramod Moutho, Dalip Tahil, Raj Zutshi","Hum_To_Mohabbat_Karega, "
Sri Manjunatha,2001,"Drama, Family, History",K. Raghavendra Rao,J.K. Bharavi,"Arjun Sarja, Chiranjeevi, Soundarya, Meena, Ambarish, Yamuna, Sumalatha, Brahmanandam, Tanikella Bharani, Anandavardhan, Sudha Rani, Abhijit, Joy Badlani, Brahmavar, Kumar Govind","Sri_Manjunatha, Sri_Manjunatha, "
Mayuri,1984,"Family, Musical",Singeetam Srinivasa Rao,"Ganesh Patro, Singeetam Srinivasa Rao","Sudha Chandran, Subhakar, Narayana P.L., Nirmalamma, Potti Prasad, Raju S.R., Subbaraya Sarma, K.K. Sharma, Suthi Veerabhadra Rao, Vijaya Y.","Mayuri_(film), "
Sirivennela,1986,"Family, Musical",K. Viswanath,"K. Viswanath, K. Viswanath","Sarvadaman D. Banerjee, Moon Moon Sen, Suhasini, Samyuktha, Varalakshmi G., Ramana Murthi J.V., Meena, Jit Mohan Mitra, Nithya, Sakshi Ranga Rao, Eashwara Rao, Shubha, Subhalekha Sudhakar","Sirivennela, "
Swathi Kiranam,1992,"Drama, Musical",K. Viswanath,"Jandhyala, K. Viswanath","Master Manjunath, Radhika Sarathkumar, Mammootty, Jayanthi, Achyuth, Dharmavarapu Subramanyam, Sakshi Ranga Rao, Dubbing Janaki, Ananth","Swathi_Kiranam, "
Thodasa Roomani Ho Jaayen,1990,"Comedy, Drama, Musical",Amol Palekar,,"Anita Kanwar, Nana Patekar, Riju Bajaj, Hemant Desai, Vikram Gokhale, Gorakshakar, Madan Gupte, Arun Joglekar, Gautam Joglekar, Aparajita Krisha, Krishnakant, Dilip Kulkarni, Deepa Lagoo, Suresh Rege, Vasant Sabnis","Thodasa_Roomani_Ho_Jaayen, "
The Trip,2002,"Comedy, Drama, Romance",Miles Swain,Miles Swain,"Larry Sullivan, Steve Braun, Ray Baker, James Handy, Faith Salie, Dennis Bailey, Alexis Arquette, Sirena Irwin, Zoe 'Joshua Tree' Logan, Jill St. John, Art Hindle, Christina Hempstead, Julie Brown, David Mixner, Alfred Dennis","The_Trip_(1967_film), "
Storytelling,2001,"Comedy, Drama, Romance",Todd Solondz,Todd Solondz,"Selma Blair, Leo Fitzpatrick, Robert Wisdom, Maria Thayer, Angela Goethals, Devorah Rose, Nancy Anne Ridder, Steve Rosen, Aleksa Palladino, Mary Lynn Rajskub, Tina Holmes, Paul Giamatti, Mike Schank, Xander Berkeley, Mark Webber","Storytelling_(film), "
All Over the Guy,2001,"Comedy, Romance",Julie Davis,Dan Bucatinsky,"Dan Bucatinsky, Richard Ruccolo, Sasha Alexander, Adam Goldberg, Michael Harris, Andrea Martin, Joanna Kerns, Christina Ricci, Blaise Garza, Lisa Kudrow, Doris Roberts, Ben Foreman, Sydney Foreman, Bev Land, Thea Mann","All_Over_the_Guy, "
Crazy/Beautiful,2001,"Drama, Romance",John Stockwell,"Phil Hay, Matt Manfredi","Kirsten Dunst, Jay Hernandez, Bruce Davison, Herman Osorio, Miguel Castro, Tommy De La Cruz, Rolando Molina, Soledad St. Hilaire, Lucinda Jenney, Taryn Manning, Richard Steinmetz, Ana Argueta, Neil Looy, Marion Moseley, Mike Jones","Crazy/Beautiful, "
Ayirathil Oruvan,1965,"Action, Adventure",B. Ramakrishnaiah Panthulu,R.K. Shanmugam,"Jayalalitha J, R.S. Manohar, Nagesh, M.N. Nambiar, N.S. Natarajan, M.G. Ramachandran, S.V. Ramadoss, L. Vijayalakshmi","Aayirathil_Oruvan_(1965_film), "
The Brothers,2001,"Comedy, Drama",Gary Hardwick,Gary Hardwick,"Morris Chestnut, D.L. Hughley, Bill Bellamy, Shemar Moore, Gabrielle Union, Tatyana Ali, Jenifer Lewis, Tamala Jones, Clifton Powell, Susan Dalian, Marla Gibbs, Julie Benz, Vanessa Bell Calloway, Angelle Brooks, Kimberly Scott","The_Brothers_(2001_film), The_Brothers_(1947_film), The_Brothers_(1979_film), "
Chitram Bhalare Vichitram,1992,Comedy,Ramachandra Rao P.N.,"P. Sambasiva Rao, Madhu Thotapalli","V.K. Naresh, Brahmanandam, Raajivi, Subhalekha Sudhakar, Maharshi Raghava, Giri Babu, Srinivasa Rao Kota, Tulasi, Bindu, Radhabai, Pradeep Shakti, Chitti Babu, Jayaprakash Reddy","Chitram_Bhalare_Vichitram, Chitram_Bhalare_Vichitram, Chitram_Bhalare_Vichitram, "
Karnan,1964,"Action, Drama, History",B. Ramakrishnaiah Panthulu,"Kannadasan, Sakthi T.K. Krishnasamy","Shivaji Ganesan, Taraka Rama Rao Nandamuri, S.A. Ashokan, R. Muthuraman, Savitri, Devika, M.V. Rajamma, R. Balasubramanian, Sandhya","Karnan_(1964_film), "
Kya Kehna,2000,"Drama, Romance",Kundan Shah,Honey Irani,"Preity Zinta, Saif Ali Khan, Chandrachur Singh, Anupam Kher, Farida Jalal, Rajeev Verma, Deven Verma, Mamik Singh, Rita Bhaduri, Navneet Nishan, Reema Lagoo, Vikas Anand, Manoj Bakshi, Nivedita Bhattacharya, Suresh Chatwal","Kya_Kehna, "
Late Night Shopping,2001,Comedy,Saul Metzstein,Jack Lothian,"Luke de Woolfson, James Lance, Kate Ashfield, Enzo Cilenti, Heike Makatsch, Shauna Macdonald, Sienna Guillory, Laurie Ventry, Bobby Finn, Claire Harman, Nigel Buckland, Lesley Harcourt, Garry Sweeney, Carmen Pierquaccini, John Wark","Late_Night_Shopping, "
Night at the Golden Eagle,2001,Drama,Adam Rifkin,Adam Rifkin,"Donnie Montemarano, Vinny Argiro, Natasha Lyonne, Vinnie Jones, Ann Magnuson, Nicole Jacobs, Fayard Nicholas, Sam Moore, Miles Dougal, Badja Djola, Kitten Natividad, Ron Jeremy, Bunny Summers, Bill Nowlin, Shelly Desai","Night_at_the_Golden_Eagle, "
PTU,2003,"Crime, Drama, Thriller",Johnnie To,"Nai-Hoi Yau, Kin-Yee Au","Simon Yam, Maggie Siu, Suet Lam, Ruby Wong, Raymond Ho-Yin Wong, Eddy Ko, Hoi-Pang Lo, Jerome Fung, Frank Michael Liu, Chi-Ping Chang, Soi Cheang, Moon-Yuen Cheung, Chi-Shing Chiu, Wai-Kwok Kwok, Roderick Lam","PTU_(film), "
Tera Jadoo Chal Gayaa,2000,"Musical, Romance",A. Muthu,"Ikram Akhtar, Ikram Akhtar","Abhishek Bachchan, Kirti Reddy, Sanjay Suri, Kader Khan, Paresh Rawal, Johnny Lever, Tiku Talsania, Farida Jalal, Himani Shivpuri, Satish Kaushik, Asrani, Zohra Sehgal, Shammi, Kannu Gill, Mahavir Shah","Tera_Jadoo_Chal_Gayaa, "
Veerapandiya Kattabomman,1959,"Biography, Drama, History",B. Ramakrishnaiah Panthulu,Sakthi T.K. Krishnasamy,"Shivaji Ganesan, Gemini Ganesan, Padmini, Varalakshmi S., Ragini, V.K. Ramasamy, O.A.K. Thevar, A. Karunanidhi, T.P. Muthulakshmi, C.R. Parthiban, Javar Seetharaman","Veerapandiya_Kattabomman_(film), "
Evolution,2001,"Comedy, Sci-Fi",Ivan Reitman,"Don Jakoby, David Diamond","David Duchovny, Julianne Moore, Orlando Jones, Seann William Scott, Ted Levine, Ethan Suplee, Michael Bower, Pat Kilbane, Ty Burrell, Dan Aykroyd, Katharine Towne, Gregory Itzin, Ashley Clark, Michelle Wolff, Sarah Silverman","Evolution_(2001_film), "
Indrudu Chandrudu,1989,"Comedy, Drama",Suresh Krishna,"Paruchuri Brothers, Kamal Haasan","Kamal Haasan, Vijayshanti, Charan Raj, Narayana P.L., Jayalalitha, Nagesh, Gollapudi Maruthi Rao, E.V.V. Satyanarayana, Srividya","Indrudu_Chandrudu, "
John Q,2002,"Crime, Drama, Thriller",Nick Cassavetes,James Kearns,"Gabriela Oltean, Denzel Washington, Kimberly Elise, Ron Annabelle, Daniel E. Smith, David Thornton, Barry G. King, Laura Harring, Kevin Connolly, Larissa Laskin, Vanessa Branch, Stephanie Moore, James Finnerty, Anne Heche, James Woods","John_Q, "
Jumping for Joy,2002,"Comedy, Drama, Family",Timothy J. Nelson,Timothy J. Nelson,"Lindsay Pulsipher, Wayne Sable, Carleton Bluford, Haleigh Danielle DeBruyn, Joe Estevez, Sam Hennings, Neil Hiatt, Rance Howard, Victoria Jackson, Shelly Kurtz, Laurence Lau, Sam Littlefield, Elisabeth Lund, Paul Mulder, Aaron Radl","Jumping_for_Joy, "
Larceny,2004,Comedy,Irving Schwartz,"David Bourla, Irving Schwartz","Joshua Leonard, Andy Dick, Kate Jackson, Heavy D, Roselyn Sanchez, Michael Lerner, Tyra Banks, Priscilla Inga Taylor, Joann Richter, Audrey Marie Anderson, Robert Bagnell, David Banks, Troy Blendell, Ursula Brooks, Brooke Dillman","Larceny_(1948_film), "
Pehchaan,1993,"Action, Drama, Thriller",Deepak S. Shivdasani,Robin Bhatt,"Sunil Shetty, Saif Ali Khan, Shilpa Shirodkar, Madhoo, Kiran Kumar, Raza Murad, Beena Banerjee, Avtar Gill, Paintal, Mahavir Shah, Bhushan Jeevan, Brij Gopal, Deep Dhillon, Lalit Tiwari, Suresh Bhagwat","Pehchaan_(1993_film), "
Golanthara Vartha,1993,"Comedy, Drama",Sathyan Anthikad,Sreenivasan,"Shobana, Sreenivasan, Kanaka, Bobby Kottarakkara, K.P.A.C. Lalitha, Mammootty, Mammukoya, Karamana Janardanan Nair, Sankaradi, Sukumari, Oduvil Unnikrishnan, Nedumudi Venu","Golanthara_Vartha, "
Jungle,2000,"Action, Adventure, Romance",Ram Gopal Varma,"H. Banerjee, Jaideep Sahni","Sunil Shetty, Fardeen Khan, Urmila Matondkar, Sushant Singh, Kashmira Shah, Rajpal Yadav, Raju Kher, Himanshu Malik, Avtar Gill, Makrand Deshpande, Manmeer Singh, Vijay Raaz, Swati Chitnis, Anil Yadav, Ram Awana","Jungle_(2000_film), "
Missamma,1955,"Comedy, Drama, Family",L.V. Prasad,"Aluri Chakrapani, Pingali Nagendra Rao","Taraka Rama Rao Nandamuri, Savitri, Akkineni Nageshwara Rao, S.V. Ranga Rao, Relangi Venkatramaiah, Jamuna, Rushyendramani, Allu Ramalingaiah, Ramana Reddy, Balkrishna, Doraiswamy, Gummadi","Missamma, Missamma_(2003_film), "
Padamati Sandhya Ragam,1987,Romance,Jandhyala,Jandhyala,"Vijayshanti, Thomas Jane, Gummaluri Sastri, Sivamani","Padamati_Sandhya_Ragam, "
Sainyam,1993,"Action, Drama, Thriller",Joshiy,S.N. Swamy,"Mammootty, Mukesh, Mohini, Priya Raman, Aby, Devan, Dileep, Prem Kumar, Valsala Menon, Vijay Menon, Mukundan, Narayanan Nair, Rajeev Rangan, Santhosh, Sukumaran","Sainyam, "
Tarkieb,2000,"Mystery, Thriller",Esmayeel Shroff,"Moin-ud-din, Moin-ud-din","Nana Patekar, Tabu, Shilpa Shetty Kundra, Aditya Pancholi, Milind Soman, Ashutosh Rana, Tiku Talsania, Akhilendra Mishra, Raghuvir Yadav, Vinod Nagpal, Deepak Qazir, Razak Khan, Javed Khan, Shehzad Sheikh, Cyrus Herald","Tarkieb, "
Aditya 369,1991,"Family, Sci-Fi, Adventure",Singeetam Srinivasa Rao,"Jandhyala, Jandhyala","Nandamuri Balakrishna, Mohini, Amrish Puri, Suthi Velu, Gollapudi Maruthi Rao, Sri Lakshmi, Tarun, Chandramohan, Brahmanandam, Silk Smitha, Subhalekha Sudhakar, Tinnu Anand, J.V. Somayajulu, Annapoorna, Chalapathi Rao","Aditya_369, "
Appula Appa Rao,1991,Comedy,E.V.V. Satyanarayana,"Sriram L.B., E.V.V. Satyanarayana","Rajendra Prasad, Shobana, Brahmanandam, Ramaprabha, Sindhuja, J.V. Somayajulu, Ironleg Sastri, Tanikella Bharani, Suthi Velu, Babu Mohan, Annapoorna, Mallikharjunarao, Srilatha, Jayalalitha, Chidathala Appa Rao","Appula_Appa_Rao, "
Buffalo Soldiers,2001,"Comedy, Crime, Drama",Gregor Jordan,"Robert O'Connor, Gregor Jordan","Joaquin Phoenix, Ed Harris, Scott Glenn, Anna Paquin, Elizabeth McGovern, Michael Peña, Leon, Gabriel Mann, Dean Stockwell, Brian Delate, Shiek Mahmud-Bey, Amani Gethers, Noah Lee Margetts, Tom Ellis, Kick Gurry","Buffalo_Soldiers_(2001_film), "
City Loop,2000,"Comedy, Drama",Belinda Chayko,Stephen Davis,"Sullivan Stapleton, Ryan Johnson, Kellie Jones, Brendan Cowell, Hayley McElhinney, Megan Cooper, Jessica Napier, Dorian Nkono, John Batchelor, Sam Atwell, Terry Annesley, Natasha Kapper, Jason Gann, Kate Crosby, Mick Van Moorsel","City_Loop_(film), "
American Pie 2,2001,Comedy,J.B. Rogers,"Adam Herz, David H. Steinberg","Jason Biggs, Shannon Elizabeth, Alyson Hannigan, Chris Klein, Thomas Ian Nicholas, Natasha Lyonne, Tara Reid, Seann William Scott, Mena Suvari, Eddie Kaye Thomas, Chris Owen, Eugene Levy, Molly Cheek, Denise Faye, Lisa Arturo","American_Pie_2, "
The Bunker,2001,"Drama, Horror, Mystery",Rob Green,Clive Dawson,"Jason Flemyng, Andrew Tiernan, Christopher Fairbank, Simon Kunz, Andrew Lee Potts, John Carlisle, Eddie Marsan, Jack Davenport, Charley Boorman, Nicholas Hamnett, Peter McNeil O'Connor, Josh Cole, Iain McKee, Nicholas Rutherford, Simon D'Arcy","The_Bunker_(2001_film), "
High Heels and Low Lifes,2001,"Action, Comedy, Drama",Mel Smith,"Kim Fuller, Georgia Pritchett","Minnie Driver, Mary McCormack, Kevin McNally, Mark Williams, Danny Dyer, Michael Gambon, Darren Boyd, Simon Scardifield, Len Collin, Jane Partridge, Jason Griffiths, Ranjit Krishnamma, Mark Meadows, Ben Walden, Michael Attwell","High_Heels_and_Low_Lifes, "
Interview,2000,"Drama, Romance",Hyuk Byun,"Hyuk Byun, Jin-wan Jeong","Jung-jae Lee, Eun-ha Shim, Jae-Hyun Cho, Min-jung Kweon, Jeong-hyeon Kim, Eun-yong Yang, Deok-jin Lee, Ho-il Jang, Charlotte Becquin, Sang-mi Choo, Stéphane Debac, Yoon-ah Kim, Nam-hee Kwon, Woong-jae Won","Interview_(2007_film), "
Jamba Lakidi Pamba,1993,Comedy,E.V.V. Satyanarayana,E.V.V. Satyanarayana,"V.K. Naresh, Aamani, Brahmanandam, Srinivasa Rao Kota, Mallikharjunarao, Babu Mohan, Sri Lakshmi, Annapoorna, Jayalalitha, Maharshi Raghava, Ironleg Sastri, Viswanatham","Jamba_Lakidi_Pamba, "
Kunwara,2000,"Comedy, Drama, Romance",David Dhawan,"Rumi Jaffery, Nagendra Babu","Govinda, Urmila Matondkar, Nagma, Om Puri, Johnny Lever, Shammi, Smita Jaykar, Mohan Joshi, Raza Murad, Jeetu Verma, Aashif Sheikh, Kader Khan, Inder Kumar, Gavin Packard, RajeshB.","Kunwara, "
Purana Mandir,1984,"Comedy, Drama, Horror","Shyam Ramsay, Tulsi Ramsay","Siddiqui M.S. Rahman, Dr. Gurdeep","Mohnish Bahl, Arti Gupta, Puneet Issar, Sadashiv Amrapurkar, Anirudh Agarwal, Sadhana Khote, Satish Shah, Trilok Kapoor, Dr. Satish Chopra, Rajendra Nath, Vishakha Chotu, Alka Noopur, Binny Rai, Pradeep Kumar, Dheeraj Kumar","Purana_Mandir, "
Seetharamaiah Gari Manavaralu,1991,Drama,Kranthi Kumar,Ganesh Patro,"Akkineni Nageshwara Rao, Meena, Rohini Hattangadi, Tanikella Bharani, Narayana Rao Dasari, Srinivasa Rao Kota, Murali Mohan, Raja, G.V. Narayana Rao, Telangana Sakuntala, Sudhakar","Seetharamaiah_Gari_Manavaralu, "
Out Cold,2001,"Comedy, Sport","Brendan Malloy, Emmett Malloy",Jon Zack,"Flex Alexander, A.J. Cook, David Denman, Caroline Dhavernas, Derek Hamilton, Zach Galifianakis, Willie Garson, David Koechner, Thomas Lennon, Jason London, Lee Majors, Victoria Silvstedt, Lewis Arquette, Todd Richards, Rio Tahara","Out_Cold_(2001_film), "
The Anniversary Party,2001,"Comedy, Drama, Romance","Alan Cumming, Jennifer Jason Leigh","Jennifer Jason Leigh, Alan Cumming","Alan Cumming, Jennifer Jason Leigh, Otis, Steven Freedman, Norizzela Monterroso, Clara Demedrano, John Benjamin Hickey, Parker Posey, Phoebe Cates, Kevin Kline, Owen Kline, Greta Kline, Denis O'Hare, Mina Badie, Jane Adams","The_Anniversary_Party, "
CQ,2001,"Drama, Comedy, Sci-Fi",Roman Coppola,Roman Coppola,"Jeremy Davies, Angela Lindvall, Élodie Bouchez, Gérard Depardieu, Giancarlo Giannini, Massimo Ghini, Jason Schwartzman, Billy Zane, John Phillip Law, Silvio Muccino, Dean Stockwell, Natalia Vodianova, Bernard Verley, L.M. Kit Carson, Chris Bearne","CQ_(film), "
Dead Awake,2001,"Action, Thriller",Marc S. Grenier,Terry Abrahamson,"Stephen Baldwin, Macha Grenon, Michael Ironside, Edward Yankie, Janet Kidder, Maxim Roy, Claudia Ferri, Karen Elkin, Frank Schorpion, Conrad Pla, Daniel Brochu, Gillian Ferrabee, Lorne Brass, Michelle Anne Lipper, Donovan Reiter","Dead_Awake_(2010_film), "
Koi... Mil Gaya,2003,"Action, Drama, Romance",Rakesh Roshan,"Rakesh Roshan, Rakesh Roshan","Hrithik Roshan, Rekha, Preity Zinta, Rakesh Roshan, Prem Chopra, Rajat Bedi, Johnny Lever, Mukesh Rishi, Anuj Pandit, Mohit Makkad, Jai Choksi, Omkar Purohit, Hansika Motwani, Pranita Bishnoi, Beena Banerjee","Koi..._Mil_Gaya, "
My Dear Marthandan,1990,"Drama, Romance",Prathap Pothen,G.M. Kumar,"Goundamani, Prabhu, R.S. Shivaji","My_Dear_Marthandan, "
Sanam,2000,Drama,Rafi Pitts,Rafi Pitts,"Ghorban Ahmadi Galdi, Ismaïl Amani, Alireza Amini, Gholam Ali Amini, Hassan Amini, Leila Amini, Reza Amiri, Mohammad Reza Fadai, Rajab Ali Gharaie, Gol Mohammad Golmohammadi, Gholamreza Hassanzadeh, Hassan Khaleghi, Khadijeh Khaleghi, Maryam Khansavari, Fatemeh Moussavi","Sanam_(film), "
Boeing Boeing,1985,Comedy,Priyadarshan,"Priyadarshan, Sreenivasan","Mohanlal, Mukesh, Lizy, Menaka, Jagathi Sreekumar, Sukumari, Maniyanpilla Raju, M.G. Soman, Sankaradi, K.P.A.C. Sunny, Shanker, Oduvil Unnikrishnan, Bobby Kottarakkara, Ashwini, Madhuri","Boeing_Boeing_(1965_film), "
Deewane,2000,"Action, Romance",Harry Baweja,,"Ajay Devgn, Urmila Matondkar, Mahima Chaudhry, Paresh Rawal, Gulshan Grover, Shivaaji Satam, Usha Bachani, Mahesh Gupta, Dinesh Hingoo, Padmini Kapila, Reema Lagoo, Johnny Lever, Raju Mavani, Ankush Mohite, Pramod Moutho","Deewane, "
Dhaai Akshar Prem Ke,2000,"Drama, Romance",Raj Kanwar,"Jainendra Jain, Raj Kanwar","Abhishek Bachchan, Aishwarya Rai Bachchan, Amrish Puri, Anupam Kher, Shakti Kapoor, Sushma Seth, Harish Patel, Dalip Tahil, Neena Kulkarni, Tanvi Azmi, Himani Shivpuri, Supriya Karnik, Inder Sudan, Rishikesh Pandey, Sanjay Batra","Dhaai_Akshar_Prem_Ke, "
Friends,1999,"Comedy, Drama",Siddique,Siddique,"Jayaram, Mukesh, Sreenivasan, Meena, Divyaa Unni, Jagathi Sreekumar, Janardanan, Cochin Hanifa, V.K. Sriraman, T.P. Madhavan, Sukumari, Zeenath, Machan Varghese, Narayanan Nair, Mani C. Kappan","Friends_(1971_film), Friends_(2001_film), "
Hamara Dil Aapke Paas Hai,2000,"Drama, Romance",Satish Kaushik,"Jainendra Jain, Bhupati Raja","Anil Kapoor, Aishwarya Rai Bachchan, Sonali Bendre, Puru Rajkumar, Anupam Kher, Satish Kaushik, Mukesh Rishi, Jaspal Bhatti, Razak Khan, Himani Shivpuri, Smita Jaykar, Tanaaz Currim Irani, Shashi Sharma, Upasna Singh, Rana Jung Bahadur","Hamara_Dil_Aapke_Paas_Hai, "
Khiladi 420,2000,"Action, Romance, Thriller",Neeraj Vora,"Uttam Gada, Uttam Gada","Akshay Kumar, Mahima Chaudhry, Antara Mali, Sudhanshu Pandey, Mukesh Rishi, Gulshan Grover, Sayaji Shinde, Alok Nath, Dilip Joshi, Razak Khan, Viju Khote, Subbiraj, Dolly Bindra, Lekhni Desai, Megha Bengali","Khiladi_420, "
Kurukshetra,2000,"Action, Crime, Drama",Mahesh Manjrekar,"Ravi Shankar Jaiswal, Mahesh Manjrekar","Sanjay Dutt, Mahima Chaudhry, Om Puri, Shivaaji Satam, Mukesh Rishi, Sayaji Shinde, Mahesh Anand, Pramod Moutho, Radika Rana, Rakhi Sawant, Salil Ankola, Suman Ranganath, Kashmira Shah, Sukhwinder Singh, Neha Bam","Kurukshetra_(2000_film), Kurukshetra_(2008_film), "
