title,year,genre,director,writer,actors,wiki_url
The Delicious Little Devil,1919,"Comedy, Drama",Robert Z. Leonard,"Harvey F. Thew, John B. Clymer","Mae Murray, Richard Cummings, Harry L. Rattenberry, Edward Jobson, Rudolph Valentino, Bert Woodruff, Martha Mattox, William V. Mong, Ivor McFadden, Bertram Grassby, Alice Knowland, I.S. McVea's Band, Satchel McVea","The_Delicious_Little_Devil, "
Don't Change Your Husband,1919,Comedy,Cecil B. DeMille,Jeanie Macpherson,"Elliott Dexter, Gloria Swanson, Lew Cody, Sylvia Ashton, Theodore Roberts, Julia Faye, James Neill, Ted Shawn","Don%27t_Change_Your_Husband, "
"For Better, for Worse",1919,Drama,Cecil B. DeMille,"Jeanie Macpherson, Edgar Selwyn","Elliott Dexter, Tom Forman, Gloria Swanson, Sylvia Ashton, Raymond Hatton, Theodore Roberts, Wanda Hawley, Winter Hall, Jack Holt, Fred Huntley","For_Better,_for_Worse_(1954_film), "
The Grim Game,1919,"Adventure, Drama",Irvin Willat,"Arthur B. Reeve, John Grey","Harry Houdini, Thomas Jefferson, Ann Forrest, Augustus Phillips, Tully Marshall, Arthur Hoyt, Mae Busch, Edward Martin, Jane Wolfe","The_Grim_Game, "
Harakiri,1919,Drama,Fritz Lang,"David Belasco, Max Jungk","Paul Biensfeldt, Lil Dagover, Georg John, Meinhart Maur, Rudolf Lettinger, Erner Huebsch, Käte Küster, Niels Prien, Herta Heden, Loni Nest","Harakiri_(1962_film), "
Hawthorne of the U.S.A.,1919,"Adventure, Comedy, Romance",James Cruze,"James B. Fagan, Walter Woods","Wallace Reid, Lila Lee, Harrison Ford, Tully Marshall, Charles Ogle, Guy Oliver, Edwin Stevens, Clarence Burton, Theodore Roberts, Ruth Renick, Robert Brower, Frank Bonner","Hawthorne_of_the_U.S.A., "
Heart o' the Hills,1919,"Drama, Romance","Joseph De Grasse, Sidney Franklin","John Fox Jr., Bernard McConville","Mary Pickford, Harold Goodwin, Allan Sears, Fred Huntley, Claire McDowell, Sam De Grasse, W.H. Bainbridge, John Gilbert, Betty Bouton, Henry Hebert, Fred Warren","Heart_o%27_the_Hills, "
The Hoodlum,1919,Comedy,Sidney Franklin,"Julie Mathilde Lippmann, Bernard McConville","Mary Pickford, Ralph Lewis, Kenneth Harlan, T.D. Crittenden, Aggie Herring, Andrew Arbuckle, Max Davidson, Paul Mullen, Buddy Messinger","The_Hoodlum_(1951_film), "
Male and Female,1919,"Adventure, Drama",Cecil B. DeMille,"Jeanie Macpherson, J.M. Barrie","Thomas Meighan, Theodore Roberts, Raymond Hatton, Robert Cain, Gloria Swanson, Lila Lee, Bebe Daniels, Julia Faye, Rhy Darby, Mildred Reardon, Mayme Kelso, Edmund Burns, Henry Woodward, Sydney Deane, Wesley Barry","Male_and_Female, "
The Miracle Man,1919,Drama,George Loane Tucker,"George M. Cohan, Robert Hobart Davis","Lon Chaney, Betty Compson, Joseph J. Dowling, J.M. Dumont, Elinor Fair, Thomas Meighan, F.A. Turner, Lucille Hutton, Lawson Butt, Kisaburô Kurihara","The_Miracle_Man_(1919_film), The_Miracle_Man_(1932_film), "
The Roaring Road,1919,"Comedy, Drama, Sport",James Cruze,"Byron Morgan, Marion Fairfax","Wallace Reid, Ann Little, Theodore Roberts, Guy Oliver, Clarence Geldart","The_Roaring_Road, "
Scarlet Days,1919,"Adventure, Romance, Western",D.W. Griffith,Stanner E.V. Taylor,"Richard Barthelmess, Eugenie Besserer, Carol Dempster, Clarine Seymour, Ralph Graves, George Fawcett, Walter Long, Kate Bruce, Rhea Haines, Adolph Lestina, Herbert Sutch, J. Wesley Warner","Scarlet_Days, "
Victory,1919,"Drama, Romance",Maurice Tourneur,"Joseph Conrad, Jules Furthman","Jack Holt, Seena Owen, Wallace Beery, Ben Deeley, Lon Chaney, Bull Montana","Victory_(1996_film), Victory_(2009_film), Victory_(2013_film), "
